url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/17541532,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Haase, Robert""",105,48,66,53,105,48,53,66
https://zenodo.org/records/17478160,"""Haase, Robert""",6,2,17,12,6,2,12,17
https://zenodo.org/records/17422917,"""Haase, Robert""",162,108,96,90,162,108,90,96
https://zenodo.org/records/17240205,"""Umlauft, Josefine""",58,48,14,14,58,48,14,14
https://zenodo.org/records/17203260,"""Haase, Robert""",188,146,62,57,106,81,34,36
https://zenodo.org/records/17186869,"""Haase, Robert""",195,149,177,174,120,91,91,91
https://zenodo.org/records/17158770,"""Schott, Philipp and Wolf, Gregor and Welz, Oliver""",6,6,106,98,6,6,98,106
https://zenodo.org/records/17158643,"""Welz, Oliver""",97,62,101,93,97,62,93,101
https://zenodo.org/records/17130780,"""Berger, Mike and Täschner, Matthias and Voigt, Pia""",123,107,119,113,123,107,113,119
https://zenodo.org/records/17116758,"""Haase, Robert""",333,290,682,656,333,290,656,682
https://zenodo.org/records/17093197,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Götze, Luisa""",271,215,347,333,271,215,333,347
https://zenodo.org/records/17102027,"""Haase, Robert""",212,130,145,132,212,130,132,145
https://zenodo.org/records/17085991,"""Haase, Robert""",491,355,479,442,316,215,348,384
https://zenodo.org/records/17053832,"""Haase, Robert""",187,110,109,103,187,110,103,109
https://zenodo.org/records/17017890,"""Haase, Robert""",78,63,27,25,78,63,25,27
https://zenodo.org/records/16894343,"""Haase, Robert""",80,53,76,65,80,53,65,76
https://zenodo.org/records/15858127,"""Haase, Robert""",7306,6768,1216,1101,1493,1333,522,610
https://zenodo.org/records/15805268,"""Philipp, Schott and Gregor, Wolf and Oliver, Welz""",16,16,127,114,15,15,111,121
https://zenodo.org/records/15805148,"""Center for Scalable Data Analytics and Artificial Intelligence and Oliver, Welz""",109,85,120,107,109,85,107,120
https://zenodo.org/records/15735577,"""Haase, Robert""",594,416,705,623,594,416,623,705
https://zenodo.org/records/15706181,"""Haase, Robert""",461,389,195,182,301,243,132,141
https://zenodo.org/records/15699459,"""Haase, Robert""",419,358,335,324,292,247,204,210
https://zenodo.org/records/15654889,"""Taeschner, Matthias and Haase, Robert""",233,187,186,176,233,187,176,186
https://zenodo.org/records/15646539,"""Haase, Robert""",348,266,186,174,318,238,154,165
https://zenodo.org/records/15516022,"""Haase, Robert""",1075,1002,214,203,741,687,172,181
